"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type"
"1","FDW58",0.964275081869604,3,0.0233744296025014,14,0.323413117907028,10,"1999",3,1,2
"2","FDW14",0.222983030663888,4,0.118736880855601,5,0.235849008347883,3,"2007",1,2,2
"3","NCN55",0.598094671033045,3,0.307674439633794,12,0.894139942983413,1,"1998",1,3,1
"4","FDQ58",0.164334623399821,3,0.0475482758481645,14,0.524487805543431,3,"2007",1,2,2
"5","FDY38",0.484705767714001,5,0.366457556515166,5,0.862068965517241,6,"1985",3,3,4
"6","FDH56",0.312295325989878,5,0.197187459063928,7,0.36299991815801,9,"1997",4,1,2
"7","FDL48",0.880916939565347,5,0.255228773190181,1,0.0772102452531646,4,"2009",3,3,3
"8","FDC48",0.484705767714001,3,0.0487660034307856,1,0.209162551833261,6,"1985",3,3,4
"9","FDN33",0.104197677880322,5,0.381184328769082,14,0.271756329113924,8,"2002",1,2,2
"10","FDA36",0.085144388210777,3,0.0176074759257081,1,0.660287538192929,3,"2007",1,2,2
"11","FDT44",0.717177731467699,3,0.320015933271215,7,0.368103959788302,3,"2007",1,2,2
"12","FDQ56",0.12116701399226,3,0.32694466299761,7,0.227626445875164,8,"2002",1,2,2
"13","NCC54",0.484705767714001,3,0.528614112383759,9,0.888452777171541,5,"1985",4,1,1
"14","FDU11",0.0136945519499851,3,0.286548017673306,2,0.384997510639459,10,"1999",3,1,2
"15","DRL59",0.726108961000298,1,0.0655254125649228,8,0.085421724956351,2,"1987",2,3,2
"16","FDM24",0.094075617743376,5,0.2454930674002,1,0.510006035846792,10,"1999",3,1,2
"17","FDI57",0.91068770467401,3,0.167271260759867,13,0.710946025207333,8,"2002",1,2,2
"18","DRC12",0.791604644239357,3,0.117356588547156,15,0.682991870362287,4,"2009",3,3,3
"19","NCM42",0.484705767714001,3,0.087086219016603,10,0.331209420013095,6,"1985",3,3,4
"20","FDA46",0.538553140815719,3,0.608389918162849,14,0.689363610323003,1,"1998",1,3,1
"21","FDA31",0.151533194403096,3,0.339639950896257,7,0.609629051178525,2,"1987",2,3,2
"22","NCJ31",0.871985710032748,3,0.564271380446339,12,0.88632147533828,7,"2004",4,2,2
"23","FDG52",0.541530217326585,1,0.202791381443134,6,0.0671368602684417,9,"1997",4,1,2
"24","NCL19",0.484705767714001,3,0.0848080912318976,12,0.470408152826277,5,"1985",4,1,1
"25","FDS10",0.871985710032748,3,0.108698660440024,14,0.634027342044959,7,"2004",4,2,2
"26","FDX22",0.132777612384638,5,0.118821691860589,14,0.756624086097774,1,"1998",1,3,1
"27","NCF19",0.502828222685323,3,0.10846123103044,10,0.0665537360868616,7,"2004",4,2,2
"28","NCE06",0.0756177433760048,3,0.282678317818457,10,0.551578356885639,9,"1997",4,1,2
"29","DRC27",0.550461446859184,3,0.179529611927082,5,0.906614026353121,9,"1997",4,1,2
"30","FDE21",0.490919916641858,1,0.0708829078062384,7,0.360442355958097,7,"2004",4,2,2
"31","NCR42",0.484705767714001,3,0.208186205515376,10,0.000426260366652138,5,"1985",4,1,1
