"","Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"1","FDW58","OUT049","2181.28891357504"
"2","FDW14","OUT017","2181.28891357504"
"3","NCN55","OUT010","2181.28891357504"
"4","FDQ58","OUT017","2181.28891357504"
"5","FDY38","OUT027","2181.28891357504"
"6","FDH56","OUT046","2181.28891357504"
"7","FDL48","OUT018","2181.28891357504"
"8","FDC48","OUT027","2181.28891357504"
"9","FDN33","OUT045","2181.28891357504"
"10","FDA36","OUT017","2181.28891357504"
"11","FDT44","OUT017","2181.28891357504"
"12","FDQ56","OUT045","2181.28891357504"
"13","NCC54","OUT019","2181.28891357504"
"14","FDU11","OUT049","2181.28891357504"
"15","DRL59","OUT013","2181.28891357504"
"16","FDM24","OUT049","2181.28891357504"
"17","FDI57","OUT045","2181.28891357504"
"18","DRC12","OUT018","2181.28891357504"
"19","NCM42","OUT027","2181.28891357504"
"20","FDA46","OUT010","2181.28891357504"
"21","FDA31","OUT013","2181.28891357504"
"22","NCJ31","OUT035","2181.28891357504"
"23","FDG52","OUT046","2181.28891357504"
"24","NCL19","OUT019","2181.28891357504"
"25","FDS10","OUT035","2181.28891357504"
"26","FDX22","OUT010","2181.28891357504"
"27","NCF19","OUT035","2181.28891357504"
"28","NCE06","OUT046","2181.28891357504"
"29","DRC27","OUT046","2181.28891357504"
"30","FDE21","OUT035","2181.28891357504"
"31","NCR42","OUT019","2181.28891357504"
"32","FDX51","OUT018","2181.28891357504"
"33","NCR06","OUT018","2181.28891357504"
"34","FDU31","OUT027","2181.28891357504"
"35","FDU59","OUT017","2181.28891357504"
"36","FDR03","OUT027","2181.28891357504"
"37","FDS49","OUT027","2181.28891357504"
"38","FDD48","OUT010","2181.28891357504"
"39","NCF18","OUT017","2181.28891357504"
"40","NCD43","OUT027","2181.28891357504"
"41","NCD54","OUT018","2181.28891357504"
"42","FDY19","OUT010","2181.28891357504"
"43","NCY54","OUT017","2181.28891357504"
"44","NCL19","OUT018","2181.28891357504"
"45","FDP23","OUT010","2181.28891357504"
"46","FDC26","OUT013","2181.28891357504"
"47","FDR14","OUT010","2181.28891357504"
"48","NCS41","OUT035","2181.28891357504"
"49","FDF41","OUT035","2181.28891357504"
"50","FDU34","OUT046","2181.28891357504"
"51","DRH11","OUT046","2181.28891357504"
"52","FDM03","OUT013","2181.28891357504"
"53","FDS31","OUT017","2181.28891357504"
